id,time_step,birth_time,death_time,x,y,prev_id,next_id
2,19,0,76,568,238,1,3
2,20,0,76,569,238,1,3
2,21,0,76,570,239,1,3
2,22,0,76,571,239,1,3
2,23,0,76,572,239,1,3
2,24,0,76,573,240,1,3
2,25,0,76,574,240,1,3
2,26,0,76,575,240,1,3
2,27,0,76,576,240,1,3
2,28,0,76,577,240,1,3
2,29,0,76,578,241,1,3
2,30,0,76,579,241,1,3
2,31,0,76,580,241,1,3
2,32,0,76,581,241,1,3
2,33,0,76,582,242,1,3
2,34,0,76,581,241,1,3
2,35,0,76,582,242,1,3
2,36,0,76,583,242,1,3
2,37,0,76,584,242,1,3
2,38,0,76,585,242,1,354
2,39,0,76,586,242,1,354
2,40,0,76,587,242,1,354
2,41,0,76,588,242,1,376
2,42,0,76,589,242,1,376
2,43,0,76,590,242,1,376
