id,time_step,birth_time,death_time,x,y,next_id,prev_id
28,1,0,7,729,238,27,29
28,2,0,7,730,238,26,29
28,3,0,7,731,239,162,29
28,4,0,7,732,240,162,29
28,5,0,7,732,241,162,186
28,6,0,7,731,240,162,186
29,0,0,5,733,250,28,30
29,1,0,5,733,249,28,30
29,2,0,5,733,248,28,30
29,3,0,5,733,247,28,30
29,4,0,5,733,246,28,30
30,0,0,10,734,261,29,31
30,1,0,10,734,260,29,31
30,2,0,10,735,259,29,31
30,3,0,10,734,258,29,31
30,4,0,10,735,257,29,31
30,5,0,10,735,256,186,31
30,6,0,10,734,255,186,31
30,7,0,10,733,254,186,31
30,8,0,10,732,253,186,31
30,9,0,10,732,252,186,31
31,0,0,15,733,268,30,32
31,1,0,15,734,267,30,32
31,2,0,15,735,266,30,32
31,3,0,15,734,265,30,32
31,4,0,15,734,264,30,32
31,5,0,15,735,263,30,32
31,6,0,15,734,262,30,32
31,7,0,15,735,261,30,32
31,8,0,15,734,260,30,32
31,9,0,15,734,259,30,32
31,10,0,15,735,258,186,32
31,11,0,15,734,257,186,32
31,12,0,15,733,256,186,32
31,13,0,15,732,255,186,32
31,14,0,15,730,258,186,32
32,0,0,24,733,276,31,33
32,1,0,24,734,275,31,33
32,2,0,24,734,274,31,33
32,3,0,24,735,273,31,33
32,4,0,24,736,272,31,33
32,5,0,24,736,271,31,33
32,6,0,24,735,270,31,33
32,7,0,24,734,269,31,33
32,8,0,24,734,268,31,33
32,9,0,24,735,267,31,33
32,10,0,24,735,266,31,33
32,11,0,24,736,267,31,33
32,12,0,24,734,269,31,33
32,13,0,24,734,268,31,33
32,14,0,24,732,270,31,207
32,15,0,24,732,269,296,297
32,16,0,24,730,269,315,297
32,17,0,24,728,271,327,207
32,18,0,24,726,273,327,207
32,19,0,24,724,276,327,207
32,20,0,24,724,277,327,207
32,21,0,24,723,278,327,207
32,22,0,24,722,277,327,207
32,23,0,24,721,276,327,207
33,0,0,14,732,287,32,34
33,1,0,14,732,288,32,34
33,2,0,14,732,287,32,34
33,3,0,14,732,286,32,34
33,4,0,14,733,285,32,34
33,5,0,14,733,284,32,34
33,6,0,14,733,283,32,34
33,7,0,14,733,282,32,34
33,8,0,14,734,281,32,207
33,9,0,14,734,280,32,207
33,10,0,14,734,279,32,207
33,11,0,14,734,278,32,207
33,12,0,14,733,277,32,207
33,13,0,14,732,276,32,207
34,0,0,14,732,301,33,35
34,1,0,14,734,299,33,35
34,2,0,14,733,298,33,35
34,3,0,14,734,297,33,35
34,4,0,14,734,296,33,35
34,5,0,14,734,295,33,35
34,6,0,14,734,294,33,35
34,7,0,14,734,295,33,35
34,8,0,14,734,296,207,35
34,9,0,14,734,295,207,35
34,10,0,14,733,294,207,35
34,11,0,14,734,293,207,35
34,12,0,14,733,292,207,35
34,13,0,14,733,291,207,35
